"code","text","airline","estimated departure","departure","arrival","destination"
"A320","Airbus A320-214","easyJet","Estimated dep 13:00",2024-02-26 13:00:00,2024-02-26 15:05:00,"Rome Leonardo da Vinci Fiumicino Airport"
"A320","Airbus A320-214","Finnair","Estimated dep 13:32",2024-02-26 13:05:00,2024-02-26 15:00:00,"Helsinki Vantaa Airport"
"A21N","Airbus A321-271NX","Wizz Air","Estimated dep 13:19",2024-02-26 13:10:00,2024-02-26 14:40:00,"Budapest Ferenc Liszt International Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 13:25",2024-02-26 13:15:00,2024-02-26 16:00:00,"Palma de Mallorca Airport"
"B38M","Boeing 737 MAX 8","SunExpress","Estimated dep 13:35",2024-02-26 13:25:00,2024-02-26 16:45:00,"Antalya Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 13:39",2024-02-26 13:30:00,2024-02-26 15:00:00,"Budapest Ferenc Liszt International Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 13:39",2024-02-26 13:30:00,2024-02-26 14:45:00,"Krakow John Paul II International Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 13:30",2024-02-26 13:30:00,2024-02-26 15:10:00,"Milan Linate Airport"
"A320","Airbus A320-214","Lufthansa","Estimated dep 13:52",2024-02-26 13:40:00,2024-02-26 14:55:00,"Frankfurt Airport"
"A21N","Airbus A321-271NX","AnadoluJet","Estimated dep 13:51",2024-02-26 13:40:00,2024-02-26 16:35:00,"Istanbul Sabiha Gokcen International Airport"
"A332","","Spain - Air Force","Estimated dep 14:01",2024-02-26 13:50:00,2024-02-26 15:04:00,"Rzeszow Jasionka Airport"
"B38M","Boeing 737 MAX 8","SunExpress","Estimated dep 14:06",2024-02-26 13:55:00,2024-02-26 17:00:00,"Izmir Adnan Menderes International Airport"
"A320","Airbus A320-214","Eurowings","Estimated dep 14:00",2024-02-26 14:00:00,2024-02-26 15:10:00,"Graz Airport"
"A320","Airbus A320-214","Eurowings","Estimated dep 14:05",2024-02-26 14:05:00,2024-02-26 15:15:00,"Stuttgart Airport"
"A21N","Airbus A321-251NX","British Airways","Estimated dep 14:23",2024-02-26 14:10:00,2024-02-26 16:15:00,"London Heathrow Airport"
"A320","Airbus A320-214","Eurowings","Estimated dep 14:10",2024-02-26 14:10:00,2024-02-26 15:20:00,"Cologne Bonn Airport"
"A20N","Airbus A320-251N","Air Cairo","Estimated dep 14:10",2024-02-26 14:10:00,2024-02-26 18:45:00,"Hurghada International Airport"
"B38M","Boeing 737 MAX 8-200","Ryanair","Estimated dep 14:15",2024-02-26 14:15:00,2024-02-26 16:30:00,"Edinburgh Airport"
"B738","Boeing 737-8JP","Norwegian","Estimated dep 14:36",2024-02-26 14:25:00,2024-02-26 16:05:00,"Oslo Gardermoen Airport"
"A321","Airbus A321-231","Turkish Airlines","Estimated dep 14:36",2024-02-26 14:25:00,2024-02-26 17:25:00,"Istanbul Airport"
"B738","Boeing 737-8K2","KLM","Estimated dep 14:30",2024-02-26 14:30:00,2024-02-26 15:55:00,"Amsterdam Schiphol Airport"
"A319","Airbus A319-112","Lufthansa","Estimated dep 14:42",2024-02-26 14:30:00,2024-02-26 15:40:00,"Munich Airport"
"A320","Airbus A320-211","Lufthansa","Estimated dep 14:40",2024-02-26 14:40:00,2024-02-26 15:55:00,"Frankfurt Airport"
"B738","Boeing 737-8K2","Transavia","Estimated dep 14:51",2024-02-26 14:40:00,2024-02-26 16:35:00,"Paris Orly Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 14:50",2024-02-26 14:50:00,2024-02-26 18:25:00,"Malaga Costa Del Sol Airport"
"C56X","Cessna 560XL Citation XLS","NetJets Europe","Estimated dep 15:01",2024-02-26 14:50:00,2024-02-26 15:54:00,"Dusseldorf International Airport"
"A320","Airbus A320-214","Swiss","Estimated dep 14:55",2024-02-26 14:55:00,2024-02-26 16:20:00,"Zurich Airport"
"A21N","Airbus A321-251NX","Egyptair","Estimated dep 14:55",2024-02-26 14:55:00,2024-02-26 18:55:00,"Cairo International Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 14:55",2024-02-26 14:55:00,2024-02-26 16:40:00,"Geneva International Airport"
"A321","Airbus A321-211","Austrian Airlines","Estimated dep 15:21",2024-02-26 15:10:00,2024-02-26 16:25:00,"Vienna International Airport"
"B789","Boeing 787-9 Dreamliner","Qatar Airways","Estimated dep 15:15",2024-02-26 15:15:00,2024-02-26 20:50:00,"Doha Hamad International Airport"
"A320","Airbus A320-214","easyJet","Estimated dep 15:17",2024-02-26 15:15:00,2024-02-26 17:50:00,"Barcelona El Prat Airport"
"PRM1","Beechcraft Premier I",NA,"Estimated dep 15:26",2024-02-26 15:15:00,2024-02-26 17:03:00,"Pisa Galileo Galilei Airport"
"A20N","Airbus A320-251N","Pegasus","Estimated dep 15:41",2024-02-26 15:30:00,2024-02-26 18:20:00,"Istanbul Sabiha Gokcen International Airport"
"C525","",NA,"Canceled",2024-02-26 15:30:00,2024-02-26 16:47:00,"Hunxe Schwarze Heide Airport"
"F2TH","Dassault Falcon 2000EX","NetJets Europe","Estimated dep 15:46",2024-02-26 15:35:00,2024-02-26 16:55:00,"St. Gallen Altenrhein Airport"
"B738","Boeing 737-8AS","Ryanair","Estimated dep 15:55",2024-02-26 15:40:00,2024-02-26 17:25:00,"Milan Malpensa Airport"
"A320","Airbus A320-214","Lufthansa","Estimated dep 15:52",2024-02-26 15:40:00,2024-02-26 16:55:00,"Frankfurt Airport"
